household_index,evaluation_windows,forecast_points,mae_kwh,rmse_kwh,bias_kwh,r2,seasonal_naive_mae_kwh,beats_seasonal_naive
286,24,4032,0.09168730550288548,0.15591236110260592,-0.020304037801762452,0.1677726167555066,0.11685218252768252,1
288,24,4032,0.15141555408222807,0.21077692312974228,-0.016668067831132147,0.5495244630847684,0.20032762886867636,1
302,24,4032,0.23850475886969694,0.3922418717504477,-0.08808447769843042,0.13332665773627927,0.3241822917960466,1
308,24,4032,0.08552691262512882,0.22648999340755988,-0.0378519150789731,0.066412068346685,0.10734350210016903,1
310,24,4032,0.06294517656317025,0.08463335176056463,-0.017555771099444152,-0.05006148088915152,0.0872876979175046,1
313,24,4032,0.08563281213846205,0.13894770663501904,-0.026938308371297483,0.3505124821685476,0.11502281732308413,1
315,24,4032,0.18919360730427479,0.37178047011487986,-0.08559966776593929,0.06269217717831832,0.26450173635338803,1
323,24,4032,0.14297985123832607,0.2973555471189076,-0.05865382182685333,0.1401675751561059,0.19845114103961914,1
335,24,4032,0.2846777660971774,0.5118951362896075,-0.1262633124669452,0.06632124899562142,0.3880372027910891,1
336,17,2856,0.15923308397458047,0.2970657948513976,-0.006229812754135506,-0.03734123392073241,0.20614670730438553,1
338,24,4032,0.18551141797890147,0.26332545352768,0.006533347029564163,0.16816984449576655,0.2323499505947684,1
340,24,4032,0.45480319127229796,0.5980171400291009,-0.044647653381125856,-0.014539761227125858,0.5565761427897664,1
341,24,4032,0.20508787879583587,0.4087376694341563,-0.052104980075946224,-0.047408923705125394,0.27614682394408785,1
343,24,4032,0.014220724024602937,0.04430561544075668,-0.0056685459631909095,0.19661018655007834,0.01762599198033087,1
348,24,4032,0.08962247426767597,0.19521523964837553,-0.026934130662878503,0.23522958476504174,0.1234538693808847,1
351,24,4032,0.170197992094992,0.242216922003148,0.03422749256216256,0.30567787758079557,0.17805381932403036,1
353,24,4032,0.27647960708395297,0.47494821659684117,-0.1467707833877602,-0.04852209929127005,0.4035071930293703,1
356,24,4032,0.35388289892395575,0.549467265454134,-0.031075677346615566,0.3755015486904797,0.4718373034127234,1
357,24,4032,0.11389120211843254,0.1790248225025547,0.0010880281352290205,0.14290153053719135,0.141680307215124,1
359,24,4032,0.4455293083844322,0.7033618515419677,-0.07334327997107591,0.30526785024249115,0.579266119748354,1
362,24,4032,0.353767186558495,0.5656210099210064,-0.033311567439268976,0.29805869627396797,0.45947023955661626,1
372,24,4032,0.15087573162773402,0.3743145973720514,-0.05716713775542476,0.3158532231098652,0.19462648922917508,1
375,24,4032,0.09331069579384925,0.18836557332687423,-0.03749514538388226,0.16404752272208345,0.13047370977149095,1
377,24,4032,0.18083734077397765,0.3016793913239503,-0.043007935135854436,0.17035393503673446,0.25292633971594836,1
385,24,4032,0.08594993688443321,0.2182001073322944,-0.02725369888376297,0.29296348797157035,0.1156192959105182,1
398,24,4032,0.6384502361114655,1.0355122502552734,-0.28030883174921783,0.09778275868579389,0.8723030746581831,1
406,24,4032,0.09548201534106204,0.2022644495515929,-0.03897952118201092,0.20887563896944172,0.13058928454790028,1
409,24,4032,0.12494943222624161,0.2751301349075748,-0.05236753262440851,0.44843213677811833,0.14620461282948594,1
413,24,4032,0.31305780562586966,0.5225742707812628,-0.08848848936724521,0.319607564983026,0.4128174602113191,1
415,24,4032,0.5676776882157557,0.9337370857639858,-0.22549169598561195,0.2547697843131419,0.7541557559041336,1
429,24,4032,0.09707491943568346,0.15301014490875717,-0.013574076797961005,0.5169451886569357,0.13072247016021893,1
431,24,4032,0.14840842821886616,0.2200439316714843,-0.02914024701726342,0.1537008276365024,0.19032440334188913,1
435,24,4032,0.04277779953923845,0.062312818309019274,-0.006587669090737426,0.37479726517212786,0.05367633937913481,1
442,24,4032,0.16236648100080886,0.2527308803843165,-0.021239644760960744,0.24033400332987154,0.21165972261593516,1
444,24,4032,0.07351988242820852,0.16420107499223766,-0.03798253966554526,0.14518857666953433,0.09814384924839177,1
446,24,4032,0.3128759835972377,0.6085454000876668,-0.12990789456544297,0.07411789072177366,0.39414583278139903,1
448,24,4032,0.10522837675960055,0.21414028890226935,-0.04164811191962115,0.21847357850450166,0.13678348228512777,1
453,24,4032,0.12343472920520793,0.19737110075292497,-0.021807723918870564,0.06419343792126941,0.1626850207121895,1
458,24,4032,0.12270842896800281,0.20114368662627077,-0.016198387520114287,0.5377960908535802,0.13481448424817433,1
461,24,4032,0.020451490344370656,0.0793863138757532,-0.006974343674041198,-0.006236766390511184,0.03145833326885218,1
465,20,3360,0.18809467060768623,0.3469767735182048,-0.04140315315009849,0.1652110147194209,0.26589166794437913,1
472,24,4032,0.11595895929384001,0.20058260714923293,-0.02954094041977817,0.3052559940506381,0.154042410655945,1
473,24,4032,0.1887354150225985,0.36043833844338385,-0.06809845982703365,0.27216808510448964,0.2426140883804432,1
474,24,4032,0.09338569038710187,0.18454703181381166,-0.03106722355051528,0.17544003060965907,0.1334766866121855,1
481,24,4032,0.044963026242811115,0.07890852883855569,-0.011752157537673141,0.4438784922002118,0.06383432508982156,1
484,24,4032,0.13695279177692202,0.2421798297242535,-0.055411374610331326,0.14261844162380244,0.19817088314679465,1
492,24,4032,0.11088009014040129,0.25352981537144037,-0.05894002098625245,0.05062861952337361,0.16335292620166753,1
493,24,4032,0.041263938327098175,0.0800103475337777,-0.017457790436252715,0.5235388628038442,0.044606398589657766,1
505,24,4032,0.38558996632872594,0.5855141227928494,-0.07464098001992892,0.292731827853965,0.49139037780049777,1
514,24,4032,0.07124175022481867,0.10196274725886803,-0.0011482089185082013,0.41263481341879604,0.0946277281914335,1
520,24,4032,0.04550252710413631,0.10107987432979311,-0.013783321306589873,0.12839372718719388,0.06528794658758368,1
525,24,4032,0.06003699579741806,0.1192679275598339,-0.016299127891201467,0.10097800733960971,0.08194345243077444,1
537,24,4032,0.14595074770373426,0.23073273459741547,-0.032484608641382126,0.49400613035977126,0.19855828462205533,1
538,24,4032,0.695583483025003,0.913892078957994,-0.1360715342970151,-0.025473425824062756,0.883384670512492,1
548,24,4032,0.2287389123969386,0.4060909557682345,-0.06147662785905783,0.08470120637064815,0.2881463287367729,1
554,24,4032,0.08554509361385412,0.15298461375723382,-0.009326516153542177,0.27332335704870103,0.10877132974934602,1
556,24,4032,0.09956574686784445,0.22825779402815308,-0.041390510287971076,-0.009640594598683272,0.15013070428644174,1
557,24,4032,0.1595431565222079,0.21707760501233708,0.0012690205781144045,0.1544951663702917,0.1982509926597159,1
558,24,4032,0.0930898817429792,0.16219953602045034,-0.0359536140181479,0.10972095566206741,0.11412400860960285,1
560,24,4032,0.11354216282618129,0.2359703232811824,-0.05114366113954771,0.06762402058334926,0.16056200365872225,1
569,24,4032,0.48414912969077245,0.6519199995243494,-0.16175731427926895,0.24472786493864962,0.5769303070828466,1
573,24,4032,1.7479980872234417,3.634379646709122,-0.2574841392093471,-0.07321054367188506,2.3742224641351237,1
578,24,4032,0.0878561988023908,0.2021022288388592,-0.03411456638862127,0.1735514241941729,0.11320287748406242,1
580,24,4032,0.22781274015165215,0.36724678722025195,-0.03745507197048042,0.3002522169162084,0.3018323424852468,1
591,24,4032,0.20019776754206903,0.35828319498669536,-0.08107059765865819,0.30305566800274975,0.2587090764298207,1
593,24,4032,0.14985204340949182,0.27470694324079387,-0.050485748295036575,0.09470707958334024,0.19935714314499545,1
604,24,4032,0.3965048258200229,0.587825842758039,0.006705598998075676,0.3885795876587764,0.4800602658725684,1
609,24,4032,0.14855748825588277,0.28901159223570855,-0.07248792120270313,0.27905816741900125,0.19452926488352998,1
615,24,4032,0.11672835556849365,0.24881660836191818,-0.05882258308933131,0.2657616438128868,0.1513382949097644,1
616,24,4032,0.34667721654968486,0.5443349226658577,-0.12200526781158433,-0.09178302356135948,0.48898040618200506,1
617,24,4032,0.2995239353686985,0.49023508725908593,-0.09541783353594678,0.23149903163706897,0.37272990991302307,1
