household_index,evaluation_windows,forecast_points,mae_kwh,rmse_kwh,bias_kwh,r2,seasonal_naive_mae_kwh,beats_seasonal_naive
1167,24,576,0.3527506441912717,0.6304442310207541,-0.1107836557396998,0.35452997302797506,0.48330034588515347,1
1170,24,576,0.09921041388426804,0.19597478120679385,-0.04548716202326533,0.34234817152380326,0.1328107644415771,1
1177,24,576,0.157593315312018,0.2723640007062678,-0.04649405222800043,0.24091293111252765,0.2527777781037407,1
1189,24,576,0.1421852754946384,0.21841427621289983,-0.026693309657275677,0.6511032855611407,0.1725121524779954,1
1190,24,576,0.08387723986783789,0.14339030681966955,-0.025054333033040166,0.565129516451773,0.11727430480014947,1
1191,24,576,0.11502123420036191,0.24141490066377472,-0.0523502005800967,0.1670020331909784,0.17050347152204873,1
1192,24,576,0.284868616455545,0.5048166029067463,-0.11536387654228343,0.6508526751747522,0.37547395748293233,1
1195,24,576,0.10878415341075096,0.17932038844581621,-0.05293952590889401,0.13876550566057333,0.15704861159125963,1
1200,24,576,0.22693376986879027,0.47813749428046093,-0.07992300265727358,0.39553053446291153,0.3030642349040136,1
1203,24,576,0.13459552330378857,0.19672446744468153,-0.004764800710189674,0.24939007703700322,0.17023958287770963,1
1206,24,576,0.2518211427636238,0.36562778040993477,-0.0651523119951081,0.13744843279081864,0.3295972208595938,1
1213,24,576,0.057957794025747314,0.14307389836847456,-0.026064826097960275,0.15877914051316355,0.0987569439328379,1
1215,24,576,0.05684355475629369,0.10653889344699988,-0.023581703322836094,0.7571492062713401,0.0866510414182105,1
1224,24,576,0.2457431568311424,0.4831565013959506,-0.13700147453669664,0.19061028974667293,0.3320659731915738,1
1235,24,576,0.09797315757411222,0.2055433756459225,-0.047865236824792295,0.3235938497204566,0.12952604047798863,1
1236,24,576,0.13767825690512028,0.26252635300293253,-0.06312842964608636,0.34321576365009054,0.19485590315889567,1
1237,24,576,0.2257319057179201,0.4059309043483909,-0.10964828293718812,0.059739505021353834,0.3239062508671648,1
1268,24,576,0.3856543200122865,0.7018794940366653,-0.17193220059400321,0.2598951521840923,0.514795138914552,1
1270,24,576,0.15323370655662277,0.2661902686187706,-0.0690694334722745,0.36417901570270605,0.21230381892140335,1
1274,24,576,0.0837200335226953,0.20938752172389977,-0.02706832612036831,0.09942662309240202,0.0879826385450239,1
1276,24,576,0.1464976027685528,0.26131421910448893,-0.05893181840009573,0.399628552050205,0.18435069450384212,1
1296,24,576,0.09547707560058269,0.18037983571683291,-0.03298453207955592,0.38556271390852004,0.15792708256695834,1
1307,24,576,0.24023767282617176,0.40379077915847394,-0.09401073709078547,0.05869371204625562,0.3411197915233465,1
1320,24,576,0.21990658260539123,0.42595827133539454,-0.06699473901891098,0.10194750108276551,0.294107638181433,1
1324,24,576,0.1416489092969439,0.2344431244979768,-0.03724693246961882,0.43183455176517027,0.21446527754111835,1
1325,24,576,0.2425228194333613,0.4625867141288562,-0.11391713496090637,0.4622937313846972,0.32261111128092224,1
1326,24,576,0.32767055748910123,0.56239805035665,-0.10565145943676019,0.396741321982766,0.33678125094674116,1
1327,24,576,0.25963095588506097,0.47588260571143187,-0.07544328569848505,0.1984380734917941,0.4046892366475529,1
1336,24,576,0.20268472831877363,0.3480704186000324,-0.10310589663761978,0.44261576930583335,0.3730833321994093,1
1337,24,576,0.09486107050260115,0.16064040391817985,-0.037181412406627916,0.7531507442957811,0.11631770903477445,1
1341,23,552,0.1945123054438095,0.3216949077777021,-0.034908070067024746,0.4832582960898093,0.25673369669179985,1
1344,24,576,0.13580657900699103,0.25025459436205233,-0.018210549276166905,0.29988639544114515,0.1820642346283421,1
1345,24,576,0.544207850671632,0.7996141320658271,-0.22958694145523217,0.15419701265150687,0.7412465269509185,1
1348,24,576,0.2783586422705816,0.5333464633478127,-0.13410924949372807,0.3785879527921565,0.3288906264739732,1
1349,23,552,0.02584362327647598,0.04788513150655981,-0.008109812941942095,0.3394333165431418,0.029005434762254572,1
1353,24,576,0.1188595018951067,0.3317405778422627,-0.050498469858818375,0.11814818913727465,0.16737326446066922,1
1354,24,576,0.1528031941723182,0.2832584368176017,-0.05909019356153698,0.5012762394394372,0.19343923536103425,1
1355,24,576,0.07253888761624694,0.16311106852934407,-0.01847879415274494,0.32688369256943195,0.11538194452360687,1
1357,24,576,0.37575637127479744,0.5310202309330901,-0.09876075063625143,0.3354876026809894,0.5044409706671205,1
1373,24,576,0.4168318097169201,0.6663634562628877,-0.05643568736397558,0.42807180314627846,0.5574166674373878,1
