household_index,evaluation_windows,mae_kwh,seasonal_naive_mae_kwh,beats_seasonal_naive,central_80_coverage_percent,central_80_width_kwh
465,20,0.1946890135179274,0.27679583630524573,1,77.08333333333334,0.503125872509554
472,24,0.110908366953178,0.1537152769548508,1,81.59722222222221,0.3434726911881525
473,24,0.17345015606325534,0.23716493042755044,1,85.59027777777779,0.639519985144337
474,24,0.09171510113972342,0.13365104163272512,1,82.29166666666666,0.27178348811705494
481,24,0.047173767033705696,0.07007812464790833,1,78.64583333333334,0.14219301478523347
484,24,0.13986991865870854,0.19498090435647303,1,80.20833333333334,0.4245154795806027
492,24,0.12830392439112379,0.18239756882798652,1,79.16666666666666,0.2968009074037481
493,24,0.03837377382701056,0.03908680544959174,1,86.63194444444444,0.14721327427671188
505,24,0.3274158619395975,0.4662638913270914,1,81.25,1.061346578411758
514,24,0.05991750677478396,0.09391319460701197,1,84.54861111111111,0.205089056566875
520,24,0.04294613396309109,0.06270138862439328,1,85.9375,0.14815515643891153
525,24,0.06015225628571999,0.07842361089812282,1,80.03472222222221,0.19894099319612402
537,24,0.12322770268656313,0.20471180663702804,1,84.20138888888889,0.43490679828553563
538,24,0.6593620159029443,0.8630156228836212,1,79.86111111111111,2.0406787011565433
548,24,0.21036563292081054,0.3238541657014543,1,79.34027777777779,0.5623751659360197
554,24,0.07257414836850432,0.1041805558424029,1,84.02777777777779,0.23409682530392376
556,24,0.07924979665808173,0.13901736099635148,1,78.81944444444444,0.2845584061772873
557,24,0.14309461254419553,0.18513715263300887,1,77.43055555555556,0.4021407606908017
558,24,0.10343178712840502,0.13194270873726863,1,80.90277777777779,0.26656257903151626
560,24,0.10342591776538433,0.1527812498388812,1,83.50694444444444,0.3285345886316564
569,24,0.45035967347858885,0.5513611102877702,1,82.29166666666666,1.4596182480454445
573,24,1.0789181989514165,2.126032983470294,1,77.43055555555556,1.545967884775665
578,24,0.09092726735010122,0.12659722285914338,1,80.20833333333334,0.28901675629377777
580,24,0.17568893942775,0.26902951509691775,1,83.33333333333334,0.6693957929189006
591,24,0.20925783508897033,0.2612881928928093,1,79.16666666666666,0.5703934787824336
593,24,0.16042962952310014,0.21667881871366668,1,77.77777777777779,0.42596708201906747
604,24,0.3685633792128,0.46632465070837903,1,77.43055555555556,1.2065307006446853
609,24,0.17909470092531088,0.2195156241650693,1,79.16666666666666,0.4337952207618703
615,24,0.11376517219468951,0.17066145921126008,1,83.50694444444444,0.36159003779499066
616,24,0.31320167640741503,0.49305729079060256,1,72.91666666666666,0.8720041615112374
617,24,0.30096580150226754,0.41185069425652426,1,76.90972222222221,0.7575567943147488
621,24,0.1402814213716839,0.22636631913095093,1,81.59722222222221,0.39538674077226055
625,24,0.1459658611048427,0.17205902667612666,1,81.42361111111111,0.4980935765585552
629,24,0.2210754244458965,0.3111475705065661,1,84.89583333333334,0.7756416803329356
630,24,0.10327509048187898,0.12577083256069777,1,80.90277777777779,0.28144419034166884
637,24,0.353156139039331,0.4423802063489954,1,81.59722222222221,1.0584499698339238
642,24,0.1448004688427318,0.23880555541189905,1,81.42361111111111,0.4631758227478713
654,24,0.4519614284185486,0.6439600735514736,1,82.63888888888889,1.3703757715928886
662,24,0.07956807875638737,0.10396354241594155,1,81.25,0.23873261495545092
674,24,0.12747163967691855,0.182513889601978,1,78.125,0.38732440711464733
675,24,0.06449325554745479,0.08534201400147544,1,81.25,0.18960103767717051
683,24,0.3158011073505299,0.41661979340844685,1,87.84722222222221,1.0990022570929594
685,24,0.2778042676574033,0.3657916673562593,1,78.99305555555556,0.8699856070646396
689,24,0.41488308769961196,0.6131493086512718,1,83.85416666666666,1.390454817459815
692,24,0.5652339939390205,0.7683281293914964,1,75.86805555555556,1.859534082468599
693,24,0.4343468968032135,0.47914063030232984,1,81.59722222222221,1.671895529764394
694,24,0.26880032674590537,0.3857673594288321,1,82.63888888888889,0.7933270869673126
697,24,0.08373509697008154,0.10492534675480177,1,87.67361111111111,0.2583201996684592
702,24,0.03956314169146127,0.05230729185960728,1,82.46527777777779,0.13106337453549108
707,24,0.10965182744742681,0.14469965273100469,1,79.51388888888889,0.23594261165190902
711,24,0.23086235745965192,0.3099131945054978,1,86.97916666666666,0.658174313708312
715,24,0.22481918906042767,0.3689218744661452,1,73.95833333333334,0.6224100473595576
745,24,0.19469298608601093,0.276317708271866,1,81.07638888888889,0.5610339243689345
748,24,0.24662364456647387,0.306137150968425,1,85.24305555555556,0.6989253661853986
753,24,0.11019545119617963,0.1579670147685748,1,78.64583333333334,0.3547010774620705
756,24,0.12629083939827979,0.17078645783476532,1,81.94444444444444,0.40773787199416095
764,24,0.1695982040837407,0.2274270828282978,1,83.85416666666666,0.58701818001767
772,24,0.10128087443040891,0.14500347204092476,1,79.86111111111111,0.3584735447075218
775,24,0.07391345521884635,0.11447222212801636,1,79.16666666666666,0.18945994096187255
776,21,0.12539954732600894,0.18428373167158238,1,82.93650793650794,0.4484420665909374
777,24,0.3612475509548353,0.3810000020958897,1,82.98611111111111,1.2155057692693338
796,24,0.056089170307233066,0.06901736173636487,1,87.32638888888889,0.21012441901904014
803,24,0.27397030868774486,0.4053871501495855,1,77.08333333333334,0.8621196046782037
806,24,0.1563050397671759,0.22746354160416457,1,83.15972222222221,0.5391696353391227
808,24,0.10894095840760404,0.16946527641913336,1,87.32638888888889,0.38717178946050507
820,24,0.07347478266132788,0.10372222217524217,1,80.55555555555556,0.22330659908604705
821,24,0.11078544104627024,0.1322048622985474,1,81.07638888888889,0.3377686275117513
831,19,0.09423838825406212,0.14229385984506002,1,78.0701754385965,0.2773934044107272
836,24,0.330732001140455,0.4167899293889705,1,81.59722222222221,1.0772308505968087
839,24,0.4859527837122894,0.8081354170960063,1,77.43055555555556,1.515575754094041
847,24,0.2829946191567514,0.41055555413994527,1,81.94444444444444,0.9111714266344078
848,24,0.1616378905924244,0.207314236199535,1,84.54861111111111,0.4586650695030888
849,24,0.16147926363110957,0.22239236110666147,1,82.8125,0.5562380408712974
852,24,0.15114631746028964,0.2625156269706268,1,82.8125,0.5193562641118964
865,24,0.057640805190506704,0.08088368042242816,1,76.5625,0.1706689738590891
873,24,0.2064950120661201,0.31119965081517065,1,80.90277777777779,0.6181664899664207
876,24,0.07161396637740028,0.10993923587860384,1,76.90972222222221,0.19873175771984583
881,24,0.14928069356311527,0.2433923602414628,1,79.51388888888889,0.44724037769871455
886,24,0.1250811298765863,0.16849999925276885,1,83.68055555555556,0.40511510539282525
887,24,0.14982855199680975,0.21729861151996172,1,79.86111111111111,0.5261010486218665
889,24,0.49375206171276254,0.5623437480600033,1,77.95138888888889,1.4510643451164167
895,24,0.04998557693519009,0.06384375008120616,1,85.9375,0.18551036298999357
899,19,0.6812866749732118,1.0922214918230708,1,48.90350877192983,0.8798759178372851
902,24,0.19151970146534344,0.2553385400290911,1,81.42361111111111,0.5729865950997919
903,24,0.1387807298710363,0.19259201361435568,1,86.11111111111111,0.5431381021108892
925,24,0.14092642333384398,0.20833159798833853,1,83.85416666666666,0.4539624710515555
926,24,0.10843874383459075,0.13127430569794443,1,78.64583333333334,0.34819975482403404
928,24,0.5331449675270252,0.7464843701778187,1,85.76388888888889,1.9240738910933335
938,24,0.2507367055449221,0.32697222111487967,1,77.43055555555556,0.7038591565150354
940,24,0.25114330157844555,0.3415295142137135,1,80.55555555555556,0.7730069804884907
941,24,0.10193622704213744,0.15501041726383846,1,78.125,0.3010963037894625
943,24,0.10149591739496423,0.146807290872352,1,79.34027777777779,0.30643358994792735
945,24,0.04598710318451696,0.060942708264014475,1,82.63888888888889,0.16019192129735732
947,24,0.043767374337120496,0.0606649306508997,1,78.81944444444444,0.12231776765030292
950,24,0.09318231009334947,0.11622569396341634,1,78.81944444444444,0.3159258803740765
