household_index,evaluation_windows,mae_kwh,seasonal_naive_mae_kwh,beats_seasonal_naive,central_80_coverage_percent,central_80_width_kwh
615,24,0.11718709424640687,0.1513382949097644,1,82.88690476190477,0.3672176747405458
616,24,0.3407623997542061,0.48898040618200506,1,64.48412698412699,0.8751884542353865
617,24,0.2950364478257677,0.37272990991302307,1,72.4454365079365,0.7971274588212726
621,24,0.15036900087152533,0.2071867557639803,1,72.84226190476191,0.4071419973347691
625,24,0.14828440992324243,0.16670634878414964,1,81.59722222222221,0.529663980177175
629,24,0.23058849035222675,0.2982309031122852,1,81.87003968253968,0.8115528577288228
630,24,0.09013127030376049,0.11959449420701565,1,84.82142857142857,0.2978250838590727
637,24,0.34795548556934275,0.46677628969625823,1,84.15178571428571,1.086428808499246
642,24,0.15910481376710187,0.23558110162608384,1,77.77777777777779,0.5362912045444347
654,24,0.4823832620796378,0.6442395864601528,1,78.74503968253968,1.3330314593419197
662,24,0.07696873165762569,0.09182390923244442,1,78.37301587301587,0.24615549068853615
674,24,0.1281912343958596,0.1778628476158557,1,81.20039682539682,0.41564453946655644
675,24,0.0648254125364243,0.08798214323755857,1,78.86904761904762,0.19482371242650384
683,24,0.33769396336246577,0.42020436541901696,1,81.52281746031747,1.2365938014986495
685,24,0.25719326326072894,0.34673660720231025,1,77.35615079365078,0.9683171197853332
689,24,0.5169191498213285,0.6354759454483255,1,79.43948412698413,1.5238747064925966
692,24,0.628506293645986,0.8764563543640728,1,74.75198412698413,1.976357898046632
693,24,0.4736494195041439,0.4781889882943933,1,84.64781746031747,1.7970612310316592
694,24,0.2848473846633357,0.3373355653713502,1,78.42261904761905,0.8603398667108859
697,24,0.08414366425362431,0.09994568430452741,1,89.23611111111111,0.2481612723287461
702,24,0.042189630093320926,0.05189459326385755,1,76.5873015873016,0.13055280494200627
707,24,0.1023076057086684,0.13594320422178874,1,77.62896825396825,0.23394093874265395
711,24,0.21700901291628796,0.28930431651321076,1,89.55853174603175,0.7063608431952104
715,24,0.22399368819074764,0.31095758922368527,1,79.78670634920636,0.719806349204321
745,24,0.18606824908287278,0.2384610611701473,1,79.38988095238095,0.5769432215093975
748,24,0.24110857600028376,0.2785890378420138,1,82.58928571428571,0.7023228695763956
753,24,0.10849967529620266,0.14228621101938188,1,76.93452380952381,0.377127448691883
756,24,0.11953744092690093,0.15107167716182412,1,83.06051587301587,0.40829373620790504
764,24,0.16774790426198807,0.21608606100522187,1,86.40873015873017,0.5894895775635387
772,24,0.0980837131011492,0.1332879461761978,1,85.46626984126983,0.3903119508398786
775,24,0.09238521103710924,0.11953745041602007,1,65.4265873015873,0.21983589918263965
776,21,0.1412760041291929,0.18667602058882296,1,81.77437641723357,0.45727019594420515
777,24,0.40405291344393934,0.3898105158337525,0,80.58035714285714,1.3193150577504957
796,24,0.06123609752594059,0.07381150842639539,1,78.17460317460318,0.2096675133373263
803,24,0.303230305608835,0.41501041490673307,1,76.3640873015873,0.9056634821648163
806,24,0.16949767772374408,0.2234052572905692,1,80.48115079365078,0.5560487373177672
808,24,0.133073774571549,0.15920808515465257,1,76.98412698412699,0.4299054146515176
820,24,0.08205869557365539,0.10731473205692416,1,73.75992063492063,0.23882502494453792
821,24,0.11019461523068862,0.12764161713384387,1,76.46329365079364,0.3551096955336453
831,16,0.08769589954144544,0.12437686011461276,1,78.90625,0.2733213683324201
836,24,0.3314042227566316,0.42414310505144326,1,81.17559523809523,1.110386040948686
839,24,0.5387784244477867,0.6844223716466259,1,70.08928571428571,1.5721267868232514
847,24,0.2747157470892287,0.3694990059279556,1,79.4890873015873,0.882049288778078
848,24,0.16204726603344113,0.2081587303592454,1,75.9920634920635,0.4550217443131029
849,24,0.15639904878538338,0.21433258925135884,1,81.84523809523809,0.5733426549908011
852,24,0.17828897573377211,0.2467192462285138,1,77.10813492063492,0.5659160854235764
865,24,0.06551583288172777,0.07849330348096648,1,71.62698412698413,0.18798648406906673
873,24,0.19697577524597623,0.2874002964790201,1,71.97420634920636,0.6264357108600616
876,24,0.07110704022638928,0.0966507934203874,1,76.5873015873016,0.20098965041272873
881,24,0.1608184581910748,0.23369419569933106,1,78.27380952380952,0.42854362202527385
886,24,0.1286669840818153,0.17645188408075935,1,83.40773809523809,0.4327658692759181
887,24,0.15137980097261744,0.21479712305257895,1,79.96031746031747,0.5253394333209606
889,24,0.5528419962751546,0.6037495051601177,1,75.29761904761905,1.5766653386979468
895,24,0.05504536638054849,0.06898883926462279,1,81.77083333333334,0.18725095360562027
899,16,0.9443315323331349,1.157549106288657,1,35.15625,0.8242586090207278
902,24,0.1910487324561155,0.25083804504746304,1,78.42261904761905,0.5698874349750224
903,24,0.158702014991644,0.1958831846871088,1,80.43154761904762,0.5548777721733564
925,24,0.14868078098238802,0.19930208341120595,1,74.90079365079364,0.47674440730377915
926,24,0.1009169736699689,0.12565873004496098,1,80.80357142857143,0.3826495744214053
928,24,0.6524561134625285,0.7571242503038357,1,89.28571428571429,2.5407129826526793
938,24,0.23973984541630167,0.3203144840256769,1,75.47123015873017,0.7619452769572418
940,24,0.24747557460056943,0.3318427562905801,1,81.17559523809523,0.7673537213658352
941,24,0.11342535833255314,0.15132068484834033,1,79.34027777777779,0.30472558911608916
943,24,0.10038405638520739,0.14442237072979056,1,78.59623015873017,0.31321247044714196
945,24,0.04869040179030327,0.06284250991117755,1,80.53075396825396,0.16808610183689449
947,24,0.044767512901296234,0.05951190458948813,1,77.52976190476191,0.1372107174986648
950,24,0.10154682406434967,0.12739360180502343,1,76.5625,0.31962982583273614
953,17,0.0703993754941417,0.09768627411281529,1,81.72268907563026,0.21978155721542464
964,24,0.046118508660352775,0.0561264882710511,1,76.81051587301587,0.14323125660256852
970,24,0.054153893146172374,0.06666493046260069,1,81.20039682539682,0.16968742222802358
973,24,0.13355965829742628,0.15221378897290883,1,68.57638888888889,0.5517328087691336
982,24,0.06750563367377109,0.09308705365263104,1,75.81845238095238,0.2096170416630302
991,24,0.418541218024782,0.5736230168388121,1,75.64484126984127,1.3071227632536893
992,24,0.34116882914104424,0.39439285766252036,1,79.93551587301587,1.0982320883592207
1000,24,0.1421588614642147,0.2020669638415769,1,79.86111111111111,0.49921338986753233
1002,24,0.1459023137576878,0.18151016897773223,1,79.83630952380952,0.46357703034854714
1008,24,0.1145432603597227,0.1651294641825001,1,83.55654761904762,0.4252340408699912
1009,24,0.13064173866240752,0.16646825364376935,1,78.34821428571429,0.4136853393625527
1010,24,0.23948846769423063,0.26455977203006603,1,81.17559523809523,0.7693348699138456
1013,20,0.19848080971499993,0.24635922637590696,1,78.36309523809524,0.5403634998548243
1014,24,0.24391345687890573,0.334250248944579,1,81.87003968253968,0.7685551901850554
1021,24,0.19280447783909502,0.264347966143211,1,82.09325396825396,0.6554441738297188
1025,24,0.05234830790487606,0.06812847198896288,1,75.89285714285714,0.15934838840020968
1026,24,0.15114117047882505,0.19480580410417464,1,77.65376984126983,0.48313776025592925
1032,24,0.27136172498908956,0.36867931456349434,1,82.06845238095238,0.8570249440251954
1041,24,0.07067246145258348,0.09597346252976133,1,78.64583333333334,0.22816380190603908
1045,24,0.21542754872620756,0.2523963303759783,1,81.12599206349206,0.7271818655602161
1048,24,0.3729048985248757,0.41624429548114894,1,75.66964285714286,1.0097463400812732
1068,24,0.08604895608455297,0.09324206395392558,1,75.52083333333334,0.28650304949694566
